order_id,customer_id,product_category,amount,order_date
1,255,Clothing,2271.82,2024-03-09
2,813,Groceries,3242.73,2024-02-27
3,267,Furniture,4185.84,2024-01-13
4,951,Beauty,3813.75,2024-01-19
5,989,Furniture,2562.92,2024-01-22
6,494,Furniture,3450.98,2024-03-07
7,188,Clothing,2984.02,2024-04-22
8,346,Automobile,2895.09,2024-03-06
9,579,Electronics,3686.63,2024-02-15
10,861,Furniture,286.68,2024-01-20
11,505,Clothing,1346.96,2024-01-03
12,865,Automobile,4685.18,2024-01-04
13,248,Furniture,721.66,2024-01-06
14,402,Clothing,895.92,2024-01-10
15,319,Electronics,1355.86,2024-03-24
16,572,Sports,1611.94,2024-03-08
17,312,Automobile,2089.69,2024-01-09
18,739,Automobile,634.8,2024-02-02
19,151,Sports,649.37,2024-01-11
20,433,Groceries,2470.85,2024-03-18
21,581,Sports,3905.43,2024-04-23
22,615,Automobile,4005.05,2024-03-25
23,180,Automobile,3285.01,2024-02-13
24,452,Automobile,587.72,2024-01-09
25,265,Electronics,2193.82,2024-02-08
26,138,Beauty,1586.81,2024-04-28
27,132,Electronics,4309.49,2024-04-23
28,786,Furniture,3471.97,2024-04-05
29,917,Beauty,4240.44,2024-02-07
30,458,Furniture,4943.5,2024-04-14
31,947,Furniture,2474.32,2024-01-19
32,655,Automobile,209.38,2024-02-25
33,452,Groceries,1539.08,2024-02-18
34,524,Electronics,1231.96,2024-02-26
35,308,Beauty,1279.74,2024-03-16
36,621,Clothing,3412.85,2024-02-08
37,731,Electronics,1396.64,2024-03-07
38,466,Sports,1058.47,2024-04-19
39,884,Sports,2221.97,2024-02-24
40,359,Furniture,2199.66,2024-03-29
41,397,Groceries,1027.12,2024-03-31
42,881,Automobile,4244.73,2024-02-06
43,985,Furniture,1573.42,2024-01-02
44,403,Groceries,4933.06,2024-03-19
45,352,Clothing,2412.04,2024-02-08
46,513,Groceries,970.66,2024-02-03
47,288,Electronics,3710.32,2024-04-20
48,255,Beauty,4089.73,2024-03-27
49,101,Electronics,1586.4,2024-03-24
50,973,Automobile,3006.72,2024-03-28
51,185,Furniture,4262.2,2024-04-03
52,914,Sports,3233.08,2024-04-19
53,520,Clothing,226.03,2024-01-18
54,620,Electronics,305.72,2024-01-23
55,828,Clothing,4171.67,2024-02-10
56,382,Automobile,1346.16,2024-03-29
57,279,Beauty,2203.92,2024-03-21
58,271,Furniture,4395.87,2024-04-09
59,953,Clothing,3983.68,2024-01-13
60,602,Sports,3431.83,2024-02-09
61,107,Electronics,1366.48,2024-04-19
62,929,Beauty,2675.33,2024-03-31
63,326,Sports,815.2,2024-04-01
64,915,Furniture,4251.21,2024-01-03
65,142,Furniture,3582.07,2024-03-01
66,298,Beauty,2854.19,2024-04-11
67,304,Furniture,784.21,2024-01-01
68,955,Electronics,2042.97,2024-04-15
69,822,Groceries,2234.58,2024-02-16
70,177,Sports,1503.19,2024-03-10
71,644,Sports,3452.79,2024-03-15
72,772,Electronics,2784.91,2024-03-30
73,692,Sports,3432.38,2024-01-17
74,472,Beauty,4017.74,2024-03-06
75,369,Electronics,2104.9,2024-03-18
76,698,Beauty,2382.41,2024-02-09
77,834,Clothing,3345.33,2024-04-10
78,206,Automobile,1924.43,2024-01-07
79,563,Furniture,1556.45,2024-04-01
80,949,Clothing,4841.58,2024-02-17
81,517,Clothing,2017.75,2024-01-28
82,870,Sports,4267.02,2024-01-02
83,700,Clothing,2327.24,2024-04-02
84,248,Groceries,509.31,2024-01-27
85,584,Beauty,1919.7,2024-01-21
86,734,Beauty,3895.9,2024-02-24
87,169,Groceries,2439.82,2024-01-27
88,882,Automobile,3117.46,2024-03-05
89,360,Clothing,4180.07,2024-01-19
90,692,Automobile,4798.43,2024-02-13
91,644,Beauty,3976.28,2024-01-02
92,536,Electronics,2320.86,2024-01-17
93,726,Automobile,4801.64,2024-02-12
94,829,Automobile,2792.76,2024-03-20
95,452,Beauty,3733.1,2024-03-07
96,504,Beauty,2948.42,2024-03-27
97,883,Furniture,1924.02,2024-03-26
98,104,Beauty,2683.46,2024-02-17
99,500,Clothing,259.72,2024-02-26
100,934,Groceries,4598.8,2024-03-08
